name,source,gender,wikidata,type
"Avenue Marie-Henriette",wikidata,F,Q234047,way
"Avenue Paola",wikidata,F,Q31129,way
"Avenue Reine Astrid",wikidata,F,Q230238,way
"Avenue Reine Fabiola",wikidata,F,Q231171,way
"Avenuee Reine Elisabeth",wikidata,F,Q235186,way
"Rue Dyna Beumer",wikidata,F,Q27989351,way
"Sentier Dyna Beumer",wikidata,F,Q27989351,way
"Avenue Albert 1er",wikidata,M,Q55008046,way
"Avenue Aldo Moro",wikidata,M,Q171834,way
"Avenue André Renard",wikidata,M,Q2049920,way
"Avenue Baudouin",wikidata,M,Q12976,way
"Avenue Docteur Schweitzer",wikidata,M,Q49325,way
"Avenue Franklin Roosevelt",wikidata,M,Q8007,way
"Avenue Herbert Hoover",wikidata,M,Q35236,way
"Avenue Jean XXIII",wikidata,M,Q23873,way
"Avenue Jean de Luxembourg",wikidata,M,Q324648,way
"Avenue John F. Kennedy",wikidata,M,Q9696,way
"Avenue Martin Luther King",wikidata,M,Q8027,way
"Avenue Paul Terlinden",wikidata,M,Q16669292,way
"Avenue Salvador Allende",wikidata,M,Q440,way
"Avenue Winston Churchill",wikidata,M,Q8016,way
"Avenue de Montalembert",wikidata,M,Q577504,way
"Avenue du Maréchal Foch",wikidata,M,Q192615,way
"Avenue du Prince De Liège",wikidata,M,Q3911,way
"Avenue du Révérent Père Pire",wikidata,M,Q158850,way
"Place Cardinal Mercier",wikidata,M,Q468097,way
"Place Jack Jefferys",wikidata,M,Q43265375,way
"Rond-Point Jean Milo",wikidata,M,Q3173536,way
"Rond-Point Moreau de Melen",wikidata,M,Q2321947,way
"Rond-Point Paul Hanin",wikidata,M,Q2729607,way
"Rue Auguste Lannoye",wikidata,M,Q64563646,way
"Rue Saint-Roch",wikidata,M,Q152457,way
"Sentier Pierre Thevenet",wikidata,M,Q18195254,way
"Avenue Joséphine-Charlotte",wikidata,F,Q160984,way
"Avenue Marie-Christine",wikidata,F,Q642899,way
"Avenue Albertine",csv,F,,way
"Avenue Amélie",csv,F,,way
"Avenue Françoise",csv,F,,way
"Avenue Jacqueline",csv,F,,way
"Avenue Jeanne",csv,F,,way
"Avenue Marie-Jeanne",csv,F,,way
"Avenue Suzanne",csv,F,,way
"Avenue de Clermont Tonnerre",csv,F,,way
"Avenue de la Rochefoucauld",csv,F,,way
"Avenue du Fond Marie Monseu",csv,F,,way
"Rond-Point Yvonne Londoz",csv,F,,way
"Avenue Alexandre",csv,M,,way
"Avenue Curé Glibert",csv,M,,way
"Avenue Félix",csv,M,,way
"Avenue Fond Jean Rosy",csv,M,,way
"Avenue Général Cordier",csv,M,,way
"Avenue Général Naessens de Loncin",csv,M,,way
"Avenue Georges Marchal",csv,M,,way
"Avenue Hector Steyaert",csv,M,,way
"Avenue Jean Hermant",csv,M,,way
"Avenue Marcel Tilquin",csv,M,,way
"Avenue Paul Harris",csv,M,,way
"Avenue Paul Nicodème",csv,M,,way
"Avenue Roger de Grimberghe",csv,M,,way
"Avenue Yvan",csv,M,,way
"Avenue du Baron Dubost",csv,M,,way
"Place Jean Vanderbecken",csv,M,,way
"Rond-Point Albert Mayne",csv,M,,way
"Rond-Point du Colonel Jacques Dargent",csv,M,,way
"Rue Adelin Hautfenne",csv,M,,way
"Rue Albert Croy",csv,M,,way
"Rue Alphonse Collin",csv,M,,way
"Rue Benoni Van Beethoven",csv,M,,way
"Rue Denis Deceuster",csv,M,,way
"Rue Edouard Dereume",csv,M,,way
"Rue Jean-Baptiste Stouffs",csv,M,,way
"Rue Jean-Baptiste Vandercam",csv,M,,way
"Rue Joseph Desmet",csv,M,,way
"Rue Robert Boisacq",csv,M,,way
"Rue de l'Aviateur Huens",csv,M,,way
"Rue du Colonel Montegnie",csv,M,,way
"Sentier Marcel Ladrière",csv,M,,way
"Square Dessy",csv,M,,way
